#R/R200,median,16percentile,84percentile,lowparam,highparam,numofgal
0,14.21,13.72,14.54,6.6,8.6,1249
0.07143,14.05,13.53,14.37,6.6,8.6,1249
0.1429,13.9,13.38,14.22,6.6,8.6,1249
0.2143,13.76,13.24,14.09,6.6,8.6,1249
0.2857,13.65,13.07,13.99,6.6,8.6,1249
0.3571,13.56,12.91,13.93,6.6,8.6,1249
0.4286,13.5,12.82,13.87,6.6,8.6,1249
0.5,13.43,12.7,13.84,6.6,8.6,1249
0.5714,13.34,12.59,13.74,6.6,8.6,1249
0.6429,13.21,12.41,13.61,6.6,8.6,1249
0.7143,13.06,12.14,13.53,6.6,8.6,1249
0.7857,12.9,11.87,13.43,6.6,8.6,1249
0.8571,12.61,9.34,13.24,6.6,8.6,1249
0.9286,11.97,5.96,12.49,6.6,8.6,1249
1,5.98,5.98,5.99,6.6,8.6,1249
