#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.26 13.87 14.59  7.1  7.3
7.143e-02 14.19 13.80 14.45  7.1  7.3
1.429e-01 14.00 13.55 14.29  7.1  7.3
2.143e-01 13.87 13.40 14.16  7.1  7.3
2.857e-01 13.75 13.26 14.09  7.1  7.3
3.571e-01 13.65 13.18 14.01  7.1  7.3
4.286e-01 13.59 13.07 13.96  7.1  7.3
5.000e-01 13.49 12.92 13.87  7.1  7.3
5.714e-01 13.36 12.81 13.81  7.1  7.3
6.429e-01 13.20 12.56 13.57  7.1  7.3
7.143e-01 12.93 11.92 13.49  7.1  7.3
7.857e-01 12.61 10.38 13.34  7.1  7.3
8.571e-01  5.93  5.93  5.94  7.1  7.3
9.286e-01  5.96  5.96  5.96  7.1  7.3
1.000e+00  5.98  5.98  5.99  7.1  7.3
