R/R200,median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.19,13.66,14.57,4.6,9.6,1993
7.14E-02,14.06,13.4,14.46,4.6,9.6,1993
1.43E-01,13.9,13.13,14.34,4.6,9.6,1993
2.14E-01,13.74,12.85,14.23,4.6,9.6,1993
2.86E-01,13.62,12.61,14.16,4.6,9.6,1993
3.57E-01,13.52,12.35,14.08,4.6,9.6,1993
4.29E-01,13.4,12.29,14.03,4.6,9.6,1993
5.00E-01,13.33,12.15,13.99,4.6,9.6,1993
5.71E-01,13.25,12.05,13.92,4.6,9.6,1993
6.43E-01,13.12,11.96,13.82,4.6,9.6,1993
7.14E-01,12.97,11.81,13.71,4.6,9.6,1993
7.86E-01,12.85,11.69,13.63,4.6,9.6,1993
8.57E-01,12.68,11.34,13.48,4.6,9.6,1993
9.29E-01,12.51,11.01,13.42,4.6,9.6,1993
1.00E+00,11.31,6.18,12.93,4.6,9.6,1993
