R/R200,median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,15.04,14.55,15.64,5.52,8.12,1536
7.14E-02,14.73,14.27,15.1,5.52,8.12,1536
1.43E-01,14.55,14.01,14.9,5.52,8.12,1536
2.14E-01,14.39,13.69,14.76,5.52,8.12,1536
2.86E-01,14.22,13.35,14.63,5.52,8.12,1536
3.57E-01,14.04,13.07,14.54,5.52,8.12,1536
4.29E-01,13.9,12.8,14.4,5.52,8.12,1536
5.00E-01,13.75,12.65,14.33,5.52,8.12,1536
5.71E-01,13.63,12.51,14.23,5.52,8.12,1536
6.43E-01,13.51,12.37,14.14,5.52,8.12,1536
7.14E-01,13.36,12.22,14.07,5.52,8.12,1536
7.86E-01,13.3,12.07,13.99,5.52,8.12,1536
8.57E-01,13.18,11.85,13.89,5.52,8.12,1536
9.29E-01,13.08,10.94,13.83,5.52,8.12,1536
1.00E+00,12.65,10.07,13.64,5.52,8.12,1536
