R(kpc),median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.21,13.73,14.59,4.6,9.6,1993
1.07E+01,14.16,13.59,14.52,4.6,9.6,1993
2.14E+01,14.05,13.4,14.45,4.6,9.6,1993
3.21E+01,13.92,13.19,14.37,4.6,9.6,1993
4.29E+01,13.8,12.98,14.28,4.6,9.6,1993
5.36E+01,13.69,12.79,14.23,4.6,9.6,1993
6.43E+01,13.62,12.67,14.18,4.6,9.6,1993
7.50E+01,13.57,12.51,14.12,4.6,9.6,1993
8.57E+01,13.48,12.37,14.08,4.6,9.6,1993
9.64E+01,13.42,12.22,14.05,4.6,9.6,1993
1.07E+02,13.37,12.2,14.01,4.6,9.6,1993
1.18E+02,13.29,12.03,14.02,4.6,9.6,1993
1.29E+02,13.29,12.02,13.97,4.6,9.6,1993
1.39E+02,13.2,11.97,13.95,4.6,9.6,1993
1.50E+02,13.14,11.83,13.9,4.6,9.6,1993
