R(kpc),median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.81,13.9,15.48,5.52,10.72,3049
1.07E+01,14.61,13.82,15.07,5.52,10.72,3049
2.14E+01,14.48,13.58,14.91,5.52,10.72,3049
3.21E+01,14.35,13.15,14.8,5.52,10.72,3049
4.29E+01,14.2,12.71,14.69,5.52,10.72,3049
5.36E+01,14.06,12.17,14.61,5.52,10.72,3049
6.43E+01,13.88,11.83,14.51,5.52,10.72,3049
7.50E+01,13.74,11.56,14.43,5.52,10.72,3049
8.57E+01,13.59,11.44,14.35,5.52,10.72,3049
9.64E+01,13.39,11.26,14.27,5.52,10.72,3049
1.07E+02,13.32,11.18,14.22,5.52,10.72,3049
1.18E+02,13.16,11.08,14.12,5.52,10.72,3049
1.29E+02,13,10.97,14.05,5.52,10.72,3049
1.39E+02,12.91,10.89,14,5.52,10.72,3049
1.50E+02,12.72,10.85,13.94,5.52,10.72,3049
