#  ID   M200  MStar   lg_SSFR   MBH   fgas Kappa j  
  291 12.713 10.940  -10.323  7.949  0.510 0.310 0
 4303 11.428  9.669  -10.283  5.793  0.161 0.474 0
  723 12.306 10.681  -10.393  7.497  0.298 0.734 0
 6022 11.299  9.553  -10.289  5.991  0.056 0.233 0
 1723 11.931 10.311  -10.267  6.858  0.153 0.405 0
  803 12.243 10.525  -10.214  7.522  0.241 0.397 0
 3463 11.570  9.869  -10.179  6.143  0.088 0.249 0
 5616 11.308  9.527  -10.539  5.188  0.133 0.318 0
  217 12.911 10.958  -13.000  8.502  0.371 0.277 0
 3255 11.576  9.810  -10.109  5.919  0.153 0.612 0
 3164 11.605 10.021  -10.197  6.096  0.113 0.654 0
 3227 11.524  9.703  -9.833  5.904  0.255 0.659 0
  565 12.441 10.885  -10.229  7.160  0.415 0.704 0
  590 12.309 10.733  -9.971  7.046  0.492 0.397 0
 2237 11.762 10.198  -10.722  6.275  0.056 0.404 0
  523 12.476 10.791  -11.779  7.791  0.244 0.271 0
 1245 12.006 10.104  -10.104  7.126  0.220 0.247 0
 4908 11.393  9.830  -10.659  5.534  0.089 0.609 0
 2549 11.605  9.871  -10.381  6.465  0.259 0.283 0
 1962 11.870 10.161  -10.708  6.803  0.090 0.490 0
 2407 11.741  9.661  -10.081  6.056  0.343 0.442 0
 3647 11.502  9.520  -10.208  5.514  0.259 0.170 0
 4053 11.435  9.600  -9.888  5.549  0.135 0.510 0
 3346 11.520  9.756  -10.455  6.347  0.284 0.212 0
 1352 12.014 10.494  -10.173  6.943  0.219 0.395 0
 1437 11.980 10.353  -10.334  6.902  0.273 0.570 0
 5047 11.409  9.881  -10.673  5.866  0.029 0.325 0
 1339 12.065  9.800  -11.701  7.419  0.120 0.167 0
 2959 11.556  9.570  -9.908  5.801  0.256 0.484 0
 4020 11.407  9.506  -10.278  6.231  0.168 0.172 0
 1158 12.082 10.448  -10.177  6.514  0.293 0.653 0
 1292 12.119 10.219  -13.000  7.566  0.101 0.229 0
  741 12.349 10.224  -9.947  6.034  0.379 0.535 0
 2037 11.792  9.749  -10.207  6.232  0.233 0.269 0
  470 12.509 10.586  -12.376  7.947  0.215 0.119 0
 1625 11.982 10.278  -10.583  7.219  0.137 0.571 0
 1546 11.949 10.041  -10.322  7.109  0.152 0.405 0
 1474 11.959 10.438  -10.448  6.581  0.187 0.439 0
  425 12.601 11.031  -10.366  7.730  0.397 0.601 0
 2849 11.608  9.814  -10.212  6.090  0.107 0.250 0
 3269 11.593  9.808  -10.222  6.515  0.104 0.375 0
 1732 11.820 10.160  -9.935  6.494  0.331 0.679 0
 3730 11.511  9.734  -10.009  5.913  0.092 0.447 0
 1299 12.081 10.300  -10.590  7.559  0.141 0.390 0
 3034 11.588  9.855  -10.113  5.919  0.292 0.558 0
 2829 11.412  9.651  -10.242  5.688  0.075 0.650 0
   64 13.319 11.119  -10.608  8.507  0.613 0.463 0
 2431 11.728  9.921  -10.272  6.235  0.177 0.427 0
  765 12.380 10.627  -13.000  8.116  0.101 0.238 0
  509 12.478 10.833  -10.363  7.726  0.265 0.701 0
 1438 11.975 10.316  -10.085  6.439  0.305 0.585 0
 1567 11.883 10.315  -10.079  6.270  0.188 0.674 0
 2371 11.791  9.692  -9.738  5.537  0.205 0.460 0
  241 12.725 10.888  -10.292  8.197  0.435 0.245 0
 5735 11.258  9.622  -10.042  5.953  0.154 0.635 0
 3231 11.543  9.569  -10.456  5.811  0.274 0.312 0
 5165 11.122  9.775  -13.000  5.905  0.034 0.320 0
 1211 12.066 10.218  -10.241  6.919  0.204 0.379 0
 4496 11.472  9.659  -10.324  5.747  0.065 0.319 0
  752 12.277 10.711  -10.366  7.628  0.240 0.491 0
 3224 11.530  9.729  -9.974  5.485  0.187 0.449 0
 1570 11.965 10.362  -10.095  6.372  0.224 0.644 0
 3030 11.639  9.600  -10.217  6.356  0.137 0.224 0
  977 12.213 10.566  -10.527  7.481  0.183 0.705 0
  850 12.287 10.630  -10.514  7.316  0.273 0.540 0
 3193 11.585  9.736  -10.361  6.229  0.133 0.487 0
 2398 11.764 10.045  -10.515  6.861  0.103 0.307 0
 4792 11.388  9.640  -11.223  5.947  0.140 0.146 0
 3656 11.488  9.527  -10.054  5.896  0.206 0.202 0
 3445 11.616  9.637  -10.543  5.915  0.086 0.139 0
  824 12.280 10.348  -10.360  6.980  0.273 0.273 0
 1142 12.097 10.368  -11.987  7.693  0.016 0.255 0
 2218 11.768  9.864  -9.904  5.690  0.398 0.520 0
 1749 11.806  9.607  -10.212  5.798  0.355 0.255 0
 3588 11.482  9.618  -10.166  5.703  0.322 0.531 0
  402 12.561 10.896  -13.000  8.046  0.166 0.386 0
 2640 11.640 10.012  -10.244  6.173  0.229 0.623 0
 1965 11.784  9.863  -10.118  6.275  0.266 0.461 0
 3348 11.554  9.765  -10.198  5.726  0.115 0.209 0
 3271 11.578  9.464  -10.288  6.131  0.208 0.449 0
 1443 12.010 10.069  -10.078  6.623  0.293 0.273 0
 3928 11.453  9.557  -9.813  6.017  0.141 0.131 0
  915 12.217 10.553  -10.375  6.840  0.428 0.645 0
  345 12.692 10.856  -10.216  7.975  0.411 0.250 0
  364 12.616 10.819  -11.653  8.057  0.242 0.361 0
 8700 11.113  9.506  -10.585  5.238  0.019 0.370 0
  164 13.010 10.993  -11.526  8.429  0.483 0.141 0
 3247 11.529  9.979  -10.308  6.065  0.251 0.617 0
 4576 11.414  9.554  -10.308  6.062  0.112 0.524 0
  525 12.538 10.823  -13.000  8.153  0.060 0.133 0
