index,QSO,z,RAdeg,Decdeg,Rad,ion,b_Vel,B_Vel,Vel,e_V,logN,sumlogN,E_logN,e_logN,sum_elogN,f_logN,MS
2,RX_J0048.3+3941,0.134,12.079,39.687,25,C IV,-480,-320,-390.8,5.3,13.25,14.16379447,0.05,0.05,0.05477225575,0,-1
14,RX_J0048.3+3941,0.134,12.079,39.687,25,C IV,-300,-210,-242.8,0.5,13.95,0,0.01,0.01,0,0,0
26,RX_J0048.3+3941,0.134,12.079,39.687,25,C IV,-210,-140,-186.3,0.8,13.59,0,0.02,0.02,0,0,0
49,HS0033+4300,0.12,9.096,43.278,30.5,C IV,-300,-150,-215.8,3,14.1,14.1,0.04,0.05,0.05,0,0
61,HS0058+4213,0.19,15.38,42.493,48.6,C IV,-275,-215,-232.7,6.3,13.33,13.90452073,0.12,0.17,0.1838477631,0,0
73,HS0058+4213,0.19,15.38,42.493,48.6,C IV,-215,-170,-191.3,1.8,13.77,0,0.06,0.07,0,0,0
97,RX_J0043.6+3725,0.08,10.927,37.422,50.5,C IV,-250,-120,-188.5,2.5,13.85,13.85,0.03,0.03,0.03,0,0
121,Zw535.012,0.048,9.087,45.665,59.7,C IV,-250,-200,-215.3,7.2,12.99,13.41481419,0.16,0.26,0.3001666204,0,0
133,Zw535.012,0.048,9.087,45.665,59.7,C IV,-200,-150,-165.8,4.4,13.21,0,0.11,0.15,0,0,0
145,RX_J0050.8+3536,0.058,12.711,35.612,77.1,C IV,-300,-190,-237.1,4.7,13.45,13.45,0.06,0.07,0.07,0,0
183,IRAS_F00040+4325,0.163,1.652,43.708,93,C IV,-281,-195,-238,3.8,13.23,13.47516153,0.06,0.07,0.1063014581,0,0
196,IRAS_F00040+4325,0.163,1.652,43.708,93,C IV,-195,-125,-154.3,3.8,13.11,0,0.07,0.08,0,0,0
230,MRK352,0.015,14.972,31.827,131.7,C IV,-350,-267,-282.2,4.1,13.5,14.156552,0.06,0.07,0.1529705854,0,0
242,MRK352,0.015,14.972,31.827,131.7,C IV,-267,-225,-242.6,1.1,13.66,0,0.04,0.04,0,0,0
254,MRK352,0.015,14.972,31.827,131.7,C IV,-227,-155,-209.7,2,13.82,0,0.13,0.13,0,0,0
296,KAZ238,0.043,0.242,33.344,150.2,C IV,-370,-305,-333.7,4.2,13.45,13.8624426,0.09,0.11,0.1360147051,0,0
304,KAZ238,0.043,0.242,33.344,150.2,C IV,-225,-150,-187.6,3.3,13.65,0,0.07,0.08,0,0,0
362,PG0052+251,0.155,13.717,25.427,209.8,C IV,-347,-230,-285.6,3.8,13.41,13.74206534,0.05,0.05,0.06403124237,0,0
374,PG0052+251,0.155,13.717,25.427,209.8,C IV,-230,-150,-191.4,2,13.47,0,0.04,0.04,0,0,0
386,RXS_J0155.6+3115,0.135,28.9,31.255,231.6,C IV,-270,-140,-210,3.5,13.92,13.92,0.05,0.05,0.05,0,0
397,RBS2055,0.038,357.97,26.326,238.6,C IV,-470,-385,-430.3,5.3,13.19,13.80175468,0.09,0.12,0.1264911064,0,-1
408,RBS2055,0.038,357.97,26.326,238.6,C IV,-380,-300,-335.1,1.7,13.68,0,0.03,0.04,0,0,0
477,MRK335,0.026,1.581,20.203,292.6,C IV,-372,-310,-331.6,3.5,13,13.7106786,0.07,0.08,0.12,0,-1
489,MRK335,0.026,1.581,20.203,292.6,C IV,-310,-273,-293.8,1.8,13.24,0,0.07,0.08,0,0,0
501,MRK335,0.026,1.581,20.203,292.6,C IV,-273,-190,-234.2,2.1,13.38,0,0.03,0.04,0,0,0
523,RBS2005,0.12,351.476,21.887,328.6,C IV,-420,-375,-402.5,5,12.97,13.52808451,0.14,0.21,0.3567912555,0,-1
534,RBS2005,0.12,351.476,21.887,328.6,C IV,-375,-310,-339.2,6.2,13.12,0,0.12,0.16,0,0,-1
544,RBS2005,0.12,351.476,21.887,328.6,C IV,-310,-220,-263.2,11.9,13.05,0,0.16,0.24,0,0,0
568,PG0003+158,0.451,1.497,16.164,342.5,C IV,-460,-368,-401.7,2.1,13.56,14.00275982,0.03,0.03,0.06557438524,0,-1
579,PG0003+158,0.451,1.497,16.164,342.5,C IV,-368,-275,-336.8,1.6,13.66,0,0.02,0.03,0,0,-1
589,PG0003+158,0.451,1.497,16.164,342.5,C IV,-275,-205,-235.4,2.1,13.27,0,0.05,0.05,0,0,0
599,UGC12163,0.025,340.664,29.725,349.2,C IV,-475,-375,-424.5,5.8,13.52,13.52,0.08,0.11,0.11,0,-1
694,MRK1502,0.061,13.396,12.693,372.4,C IV,-250,-130,-187,2.2,13.61,13.61,0.03,0.03,0.03,0,0
741,3C454.3,0.859,343.491,16.148,444.1,C IV,-430,-260,-339,4,14.05,14.05,0.04,0.04,0.04,0,-1
750,SDSSJ225738.20+134045.0,0.595,344.409,13.679,462.5,C IV,-450,-298,-361.5,4.3,14.16,14.16,0.05,0.06,0.06,0,-1
777,NGC7469,0.016,345.815,8.874,503.9,C IV,-400,-268,-329.4,0.8,13.92,14.14321262,0.01,0.01,0.03741657387,0,-1
789,NGC7469,0.016,345.815,8.874,503.9,C IV,-268,-210,-243.6,1,13.23,0,0.02,0.03,0,0,0
800,NGC7469,0.016,345.815,8.874,503.9,C IV,-202,-150,-181.8,0.4,13.59,0,0.02,0.02,0,0,0
827,MRK304,0.066,334.301,14.239,533.1,C IV,-408,-255,-325.5,2.7,13.83,13.83,0.03,0.03,0.03,0,-1
