index,QSO,z,RAdeg,Decdeg,Rad,ion,b_Vel,B_Vel,Vel,e_V,logN,sumlogN,E_logN,e_logN,sum_elogN,f_logN,MS
38,HS0033+4300,0.12,9.096,43.278,30.5,C IV,-440,-335,0,0,13.06,13.06,0.18,0.3,0.3,-1,-1
85,RX_J0043.6+3725,0.08,10.927,37.422,50.5,C IV,-350,-250,0,0,12.92,12.92,0.18,0.3,0.3,-1,0
109,Zw535.012,0.048,9.087,45.665,59.7,C IV,-450,-320,0,0,13.11,13.11,0.18,0.3,0.3,-1,-1
157,IRAS_F00040+4325,0.163,1.652,43.708,93,C IV,-460,-400,0,0,12.65,13.21720697,0.18,0.3,0.4242640687,-1,-1
170,IRAS_F00040+4325,0.163,1.652,43.708,93,C IV,-390,-279,0,0,13.08,0,0.18,0.3,0,-1,0
208,RXS_J0118.8+3836,0.216,19.706,38.606,97.2,C IV,-300,-245,0,0,12.9,13.19605878,0.18,0.3,0.42,-1,0
219,RXS_J0118.8+3836,0.216,19.706,38.606,97.2,C IV,-245,-190,0,0,12.89,0,0.18,0.3,0,-1,0
266,RX_J0028.1+3103,0.5,7.045,31.063,139.1,C IV,-405,-335,0,0,13.11,13.45286947,0.18,0.3,0.42,-1,0
276,RX_J0028.1+3103,0.5,7.045,31.063,139.1,C IV,-335,-235,0,0,13.19,0,0.18,0.3,0,-1,0
287,KAZ238,0.043,0.242,33.344,150.2,C IV,-455,-410,0,0,12.94,12.94,0.18,0.3,0.3,-1,-1
312,FBS0150+396,0.212,28.278,39.929,175.5,C IV,-210,-135,0,0,13.18,13.18,0.18,0.3,0.3,-1,0
331,3C48.0,0.367,24.422,33.16,177.9,C IV,-235,-140,0,0,12.96,12.96,0.18,0.3,0.3,-1,0
341,4C25.01,0.284,4.916,26.048,208.7,C IV,-390,-335,0,0,12.56,12.86103,0.18,0.3,0.42,-1,-1
351,4C25.01,0.284,4.916,26.048,208.7,C IV,-335,-280,0,0,12.56,0,0.18,0.3,0,-1,0
419,RBS2055,0.038,357.97,26.326,238.6,C IV,-300,-225,0,0,13.1,13.1,0.18,0.3,0.3,-1,0
430,3C66A,0.444,35.665,43.035,242.2,C IV,-295,-215,0,0,12.79,12.79,0.18,0.3,0.3,-1,0
441,RX_J0053.7+2232,0.148,13.442,22.539,246.6,C IV,-370,-305,0,0,13.04,13.39390189,0.18,0.3,0.42,-1,-1
453,RX_J0053.7+2232,0.148,13.442,22.539,246.6,C IV,-305,-200,0,0,13.14,0,0.18,0.3,0,-1,0
465,MRK335,0.026,1.581,20.203,292.6,C IV,-450,-372,0,0,12.6,12.6,0.18,0.3,0.3,-1,-1
512,MRK1148,0.064,12.978,17.433,311.6,C IV,-220,-180,0,0,12.66,12.66,0.18,0.3,0.3,-1,0
559,MRK1179,0.038,38.343,27.937,341,C IV,-325,-275,0,0,13,13,0.18,0.3,0.3,-1,0
614,UGC12163,0.025,340.664,29.725,349.2,C IV,-375,-310,0,0,13.01,13.4960098,0.18,0.3,0.5196152423,-1,0
626,UGC12163,0.025,340.664,29.725,349.2,C IV,-310,-220,0,0,13.1,0,0.18,0.3,0,-1,0
640,UGC12163,0.025,340.664,29.725,349.2,C IV,-220,-180,0,0,12.93,0,0.18,0.3,0,-1,0
654,SDSSJ011623.06+142940.6,0.394,19.096,14.495,360.7,C IV,-340,-240,0,0,13.13,13.13,0.18,0.3,0.3,-1,-1
723,IRAS01477+1254,0.147,27.618,13.15,411.6,C IV,-325,-275,0,0,13.33,13.33,0.18,0.3,0.3,-1,0
817,UM228,0.098,5.254,0.88,522.8,C IV,-300,-250,0,0,13.13,13.13,0.18,0.3,0.3,-1,0
