QSO,logNCIV,err,det,logM*,R[kpc],Rvir[kpc],R/Rvir
J0929+4644,13.73,0.05,1,8.5,52,132,0.3939393939
J09525+4535,13.56,0.06,1,10,95,259,0.3667953668
J1207+2624,14.19,0.03,1,9.7,90,225,0.4
J1445+0936,14.14,0.05,1,9.8,84,232,0.3620689655
J1342+1844,13.71,0.11,1,9.4,101,202,0.5
J1122+5755,13.74,0.08,1,9.1,65,182,0.3571428571
J1330+3119,14.27,0.03,1,9.5,37,206,0.1796116505
J1134+2555,13.58,0.12,1,9.7,47,224,0.2098214286
J1059+2517,13.74,0.08,1,9.9,37,252,0.1468253968
J0843+4117,13.84,0.1,1,9.6,103,216,0.4768518519
J0949+3902,14.54,0,2,9.7,37,233,0.1587982833
J0826+0742,14.39,0,2,9.7,77,222,0.3468468468
J0959+0503,14.69,0,2,10,14,247,0.05668016194
J1236+2641,14.38,0,2,9.4,28,193,0.1450777202
J0042+1037,14.55,0,2,9.6,15,200,0.075
PG1202+281,13.58,0.1,1,10,92,254,0.3622047244
J0820+2334,14.1,0,2,9.8,29,218,0.1330275229
J0809+4619,12.88,0,0,9,125,169,0.7396449704
J1327+4435,13.25,0,0,9.8,119,229,0.519650655
J0912+2957,12.97,0,0,9.8,102,240,0.425
J0947+1005,13.02,0,0,9,120,172,0.6976744186
PG1049-005,12.98,0,0,9.6,58,219,0.2648401826
J1521+0337,13.56,0,0,9.5,87,206,0.4223300971
J1451+2709,13.09,0,0,8.3,135,114,1.184210526
J1342+0505,13.35,0,0,9.4,116,201,0.5771144279
J1211+3657,13.17,0,0,10.1,90,272,0.3308823529
J1121+0325,13.45,0,0,10.1,89,277,0.321299639
J1001+5944,12.89,0,0,8.7,135,148,0.9121621622
J0155+0857,13.15,0,0,9,105,169,0.6213017751
J0310-0049,13.04,0,0,8.5,101,129,0.7829457364
J0242-0759,13.23,0,0,8.9,126,166,0.7590361446
J1059+1441,13.06,0,0,8.2,41,102,0.4019607843
J1357+1704,12.93,0,0,9.3,124,196,0.6326530612
J0946+4711,13.71,0,0,9.6,66,222,0.2972972973
J1022+0132,13.31,0,0,9.1,39,167,0.2335329341
J1616+4154,13.47,0,0,9.2,55,172,0.3197674419
J1356+2515,13.27,0,0,9.6,97,212,0.4575471698
J1210+3157,13.11,0,0,9.3,134,197,0.6802030457
J1117+2634,13.28,0,0,9.8,114,239,0.4769874477
J1104+3141,13.23,0,0,9.7,58,225,0.2577777778
J1342+3829,13.07,0,0,9.2,54,190,0.2842105263
J0212-0737,12.95,0,0,9,53,170,0.3117647059
J1103+4141,13.34,0,0,9.5,33,206,0.1601941748
