galname[i],mstar[i],alog10(mhalo[i]),rvir[i],rhokpc[i],rhokpc[i]/rvir[i],logNCIV[i],err,det
J075622.09+304329.0,11.02,12.784412,589.84419,193.9,0.328730883,14.1,0.05,0
J084356.12+261855.3,10.55,12.078774,343.18407,178.5,0.520129033,14.03,0.05,0
J085252.73+031320.4,10.92,12.593102,509.29338,171.9,0.337526483,14.1,0.05,0
J085254.99+030908.3,10.32,11.872716,292.98259,179.1,0.611299133,13.75,0.05,0
J085301.26+031425.1,10.9,12.557329,495.50017,164.6,0.332189593,14.59,0.06,1
J092844.89+602545.7,10.95,12.648423,531.38349,152.1,0.286233963,14.53,0.08,1
J100801.20+500915.6,10.39,11.929875,306.12186,186.6,0.609561173,13.86,0.05,0
J101008.85+300252.5,10.41,11.946963,310.16337,179.8,0.579694503,14.04,0.05,0
J102846.43+391842.9,10.5,12.02902,330.32571,88.7,0.268522853,14.65,0.04,1
J120314.43+480316.4,10.78,12.362695,426.743,187.4,0.439140183,14.14,0.05,0
J122115.76-020009.6,10.15,11.747671,266.17087,197.2,0.740877453,14.38,0.05,1
J122534.26-025029.1,10.13,11.733955,263.38355,196.1,0.744541573,14.31,0.09,1
J132107.48+295615.3,10.48,12.010013,325.54188,175.5,0.539101143,0,0.05,0
J132150.89+033034.1,10.81,12.408067,441.86569,140.2,0.317290983,14.06,0.05,0
J140502.20+470525.9,10.43,11.964435,314.35077,146.9,0.467312363,14.25,0.08,1
J151136.53+402852.6,10.67,12.213995,380.71535,177,0.464914283,14.16,0.05,0
J154527.12+484642.2,10.5,12.02902,330.32571,64.7,0.195867293,13.79,0.05,0
J161708.92+063822.2,11.39,13.585581,1090.9156,103.2,0.0945994373,14.38,0.05,0
J161913.50+334146.8,11.04,12.824801,608.41522,150.9,0.248021413,13.67,0.05,0
J230842.91-091112.8,11.09,12.928177,658.65584,131,0.198889913,13.58,0.05,0
