galaxy,QSO,zgal,Vhelio [km/s],MBH,sigMBH,M*,Mhalo,SFR,vrel,Rproj,Rvir,Rproj/Rvir,line,wav,zsys,N,sigN,b,sigb,vel,sigvel,comp,uplim
NGC3489,J1101,0.002258,676.9,6.77,0.065,10.2,11.782755,-0.967,10.75118882,110.01914,273.43553,0.4023586108,CIV,1548.204,0.00223,13.403,0.099,35.7,11.549,2.357,7.816,1,1
NGC4026,J1159,0.003286,985.1,8.255,0.125,10.43,11.964435,-1.767,13.64109441,37.38524,314.35077,0.1189284187,CIV,1548.204,0.0033,13.697,0.074,80.715,17.306,-9.444,12.162,1,1
NGC4258,J1220,0.001494,461.08,7.577,0.03,10.88,12.522479,-0.08,0,69.778997,482.42196,0.1446430776,CIV,1550.781,0.001494,13.65,0.05,0,0,0,0,1,0
NGC4258,J1222,0.001494,461.08,7.577,0.03,10.88,12.522479,-0.08,0,130.30566,482.42196,0.2701072314,CIV,1550.781,0.001494,13.5,0.05,0,0,0,0,1,0
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,0,25.520224,363.76792,0.07015523524,CIV,1548.204,0,14.31132331,0.1234868414,0,0,0,0,2,1
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,166.6477008,25.520224,363.76792,0.07015523524,CIV,1548.204,0.00051,13.855,0.052,34.3,6.22,11.655,3.925,0,1
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,62.79496339,25.520224,363.76792,0.07015523524,CIV,1548.204,0.00081,13.652,0.103,10.925,4.852,-2.26,2.533,0,1
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,29.95692485,25.520224,363.76792,0.07015523524,CIV,1548.204,0.00109,13.946,0.044,30,4.293,-11.07,2.849,0,1
NGC3414,J1051,0.0049,1469.8,8.4,0.071,10.79,12.377581,-1.047,150.5463798,40.49914,431.64653,0.09382477834,CIV,1548.204,0.00442,13.99,0.057,32.78,5.621,6.646,3.813,1,1
NGC3627,J1123,0.00243,721,6.92,0.048,10.84,12.455645,0.536,117.0315866,119.976,458.29968,0.2617850399,CIV,1548.204,0.00275,14.012,0.076,85,17.787,-21.098,12.763,1,1
NGC1097,J0246,0.00424,1271.1,8.14,0.09,10.5,12.02902,0.766,24.20584916,55.657239,330.32571,0.1684919984,CIV,1548.204,0.00422,14.211,0.053,54.1,7.973,18.21,5.687,1,1
NGC4564,J1235,0.003809,1141.9,7.94,0.145,10.4,11.938382,-1.988,0,123.0785,308.12739,0.3994403094,CIV,1550.781,0.003809,13.38,0.05,0,0,0,0,1,0
