galaxy,QSO,zgal,Vhelio [km/s],MBH,sigMBH,M*,Mhalo,SFR,vrel,Rproj,Rvir,Rproj/Rvir,line,wav,zsys,N,sigN,b,sigb,vel,sigvel,comp,uplim
NGC3489,J1101,0.002258,676.9,6.77,0.065,10.2,11.782755,-0.967,30.88,110.01914,273.43553,0.4023586108,CIV,1548.204,0.00229,13.436,0.104,22.952,8.902,-21.285,5.88,1,1
NGC4026,J1159,0.003286,985.1,8.255,0.125,10.43,11.964435,-1.767,0,37.38524,314.35077,0.1189284187,CIV,1548.204,0.003286,13.24,0.05,0,0,0,0,1,0
NGC4258,J1220,0.001494,461.08,7.577,0.03,10.88,12.522479,-0.08,0,69.778997,482.42196,0.1446430776,CIV,1550.781,0.001494,13.47,0.05,0,0,0,0,1,0
NGC4258,J1222,0.001494,461.08,7.577,0.03,10.88,12.522479,-0.08,0,130.30566,482.42196,0.2701072314,CIV,1550.781,0.001494,13.39,0.05,0,0,0,0,1,0
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,0,25.520224,363.76792,0.07015523524,CIV,1548.204,0,14.19912082,0.1205570404,0,0,0,0,2,1
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,148.55,25.520224,363.76792,0.07015523524,CIV,1548.204,0.00054,13.752,0.054,32.391,6.299,2.552,3.889,0,1
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,47.32,25.520224,363.76792,0.07015523524,CIV,1548.204,0.00083,13.478,0.097,11.528,6.332,-11.743,3.109,0,1
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,43.94,25.520224,363.76792,0.07015523524,CIV,1548.204,0.00111,13.855,0.047,37.779,5.911,-19.061,3.881,0,1
NGC3414,J1051,0.0049,1469.8,8.4,0.071,10.79,12.377581,-1.047,148.32,40.49914,431.64653,0.09382477834,CIV,1548.204,0.00443,13.88,0.053,35.261,6.057,7.423,4.006,1,1
NGC3627,J1123,0.00243,721,6.92,0.048,10.84,12.455645,0.536,152.24,119.976,458.29968,0.2617850399,CIV,1548.204,0.00287,13.894,0.073,85,18.333,-20.329,12.309,1,1
NGC1097,J0246,0.00424,1271.1,8.14,0.09,10.5,12.02902,0.766,0,55.657239,330.32571,0.1684919984,CIV,1548.204,0,14.27912704,0.1137189518,0,0,0,0,2,1
NGC1097,J0246,0.00424,1271.1,8.14,0.09,10.5,12.02902,0.766,2.01,55.657239,330.32571,0.1684919984,CIV,1548.204,0.00426,14.143,0.046,55.6,7.584,3.986,5.183,0,1
NGC1097,J0246,0.00424,1271.1,8.14,0.09,10.5,12.02902,0.766,145.38,55.657239,330.32571,0.1684919984,CIV,1548.204,0.00471,13.709,0.104,15.365,6.09,-4.481,3.752,0,1
NGC4564,J1235,0.003809,1141.9,7.94,0.145,10.4,11.938382,-1.988,0,123.0785,308.12739,0.3994403094,CIV,1550.781,,13.4,0.05,0,0,0,0,1,0
