specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.41670364|13.9600|42.9000|0.0000|2|2|2|-47.8118|47.8118|1461.70033|1462.16663|0.41670364|OVI|c|
J1051+2805_nbin3_jwnorm.fits|1037.61670|0.41670364|13.9600|42.9000|0.0000|2|2|2|-47.8118|47.8118|1469.76094|1470.22981|0.41670364|OVI|c|
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.41738741|14.8100|77.0000|0.0000|3|3|3|-89.7929|89.7929|1462.20105|1463.07722|0.41738741|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1037.61670|0.41738741|14.8100|77.0000|0.0000|3|3|3|-89.7929|89.7929|1470.26442|1471.14542|0.41738741|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.41913270|14.0700|10.0000|0.0000|4|4|4|-30.3197|30.3197|1464.29197|1464.58818|0.41913270|OVI|c|
J1051+2805_nbin3_jwnorm.fits|1037.61670|0.41913270|14.0700|10.0000|0.0000|4|4|4|-30.3197|30.3197|1472.36687|1472.66472|0.41913270|OVI|c|
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.41946405|14.4200|30.0000|0.0000|5|5|5|-48.9780|48.9780|1464.54272|1465.02133|0.41946405|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1037.61670|0.41946405|14.4200|30.0000|0.0000|5|5|5|-48.9780|48.9780|1472.61900|1473.10025|0.41946405|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1025.72220|0.42011410|14.8200|66.8000|0.0000|6|6|6|-62.9717|62.9717|1456.33662|1456.94856|0.42011410|HI|b|
J1051+2805_nbin3_jwnorm.fits|1215.67000|0.42011410|14.8200|66.8000|0.0000|6|6|6|-62.9717|62.9717|1726.02752|1726.75278|0.42011410|HI|b|
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.42014334|15.4100|62.6000|0.0000|7|7|7|-106.1189|106.1189|1464.96433|1466.00182|0.42014334|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1037.61670|0.42014334|15.4100|62.6000|0.0000|7|7|7|-106.1189|106.1189|1473.04294|1474.08614|0.42014334|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.42090743|14.7200|51.1000|0.0000|8|8|8|-62.9717|62.9717|1465.96350|1466.57948|0.42090743|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1037.61670|0.42090743|14.7200|51.1000|0.0000|8|8|8|-62.9717|62.9717|1474.04762|1474.66700|0.42090743|OVI|b|
J1051+2805_nbin3_jwnorm.fits|1025.72220|0.42098198|15.9300|54.8000|0.0000|9|9|9|-110.7835|110.7835|1456.99425|1458.07147|0.42098198|HI|b|
J1051+2805_nbin3_jwnorm.fits|1215.67000|0.42098198|15.9300|54.8000|0.0000|9|9|9|-110.7835|110.7835|1726.80693|1728.08363|0.42098198|HI|b|
J1051+2805_nbin3_jwnorm.fits|1031.92610|0.42173138|14.8600|60.9000|0.0000|10|10|10|-82.7961|82.7961|1466.71658|1467.52696|0.42173138|OVI|b|
