specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1393.7602|-0.00041|13.484|0.344|72.6|42.884|67.175|46.878|2|2|2|-89.6557|89.6557|1392.776122754051|1393.6097564431489|266|289|-0.00018|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1402.7729|-0.00041|13.484|0.0|72.6|0.0|67.175|0.0|2|2|2|-89.6557|89.6557|1401.7824592540783|1402.6214836053216|512|535|-0.00018|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1393.7602|0.00019|13.156|0.717|55.6|44.128|-9.34|54.119|3|3|3|-83.9085|83.9085|1393.6311397165769|1394.411334979139|290|311|0.00016|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1402.7729|0.00019|13.156|0.0|55.6|0.0|-9.34|0.0|3|3|3|-83.9085|83.9085|1402.6430051529148|1403.4282455199668|535|557|0.00016|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1190.4158|0.20012|13.34|0.052|53.446|8.094|8.219|5.661|2|2|2|-90.8051|90.8051|1428.2854312964707|1429.0065690227611|1234|1254|0.20016|SiII|b|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1193.2897|0.20012|13.34|0.0|53.446|0.0|8.219|0.0|2|2|2|-90.8051|90.8051|1431.733595795802|1432.456474491686|1328|1348|0.20016|SiII|b|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1260.4221|0.20012|13.34|0.0|53.446|0.0|8.219|0.0|2|2|2|-90.8051|90.8051|1512.280434041705|1513.043980633879|3524|3544|0.20016|SiII|b|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1304.3702|0.20012|13.34|0.0|53.446|0.0|8.219|0.0|2|2|2|-90.8051|90.8051|1565.0102709299256|1565.8004406842826|4961|4982|0.20016|SiII|b|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1526.707|-0.00016|14.921|0.151|45.7|9.842|4.568|6.528|2|2|2|-65.5176|65.5176|1526.1324647521212|1526.7997675869588|3901|3919|-0.00014|SiII|b|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1526.707|0.00026|14.293|0.12|36.482|12.475|-10.64|9.887|3|3|3|-52.8739|52.8739|1526.8348795032937|1527.3734050805265|3920|3935|0.00022|SiII|b|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1548.204|-0.00016|13.393|0.666|4.0|6.952|1.476|6.92|2|2|2|-31.0347|31.0347|1547.7934772732756|1548.1140193376045|4492|4500|-0.00016|C IV|c|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1550.781|-0.00016|13.393|0.0|4.0|0.0|1.476|0.0|2|2|2|-31.0347|31.0347|1550.3697939543674|1550.6908695639524|4562|4570|-0.00016|C IV|c|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1548.204|0.00025|14.131|0.064|50.5|10.362|-53.439|7.024|3|3|3|-86.2074|86.2074|1548.149647304657|1549.0400408949429|4501|4525|7e-05|C IV|b|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1550.781|0.00025|14.131|0.0|50.5|0.0|-53.439|0.0|3|3|3|-86.2074|86.2074|1550.7265568340888|1551.6184324928113|4571|4596|7e-05|C IV|b|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1548.204|0.00275|14.013|0.076|85.0|17.787|-23.477|12.758|4|4|4|-157.1686|157.1686|1551.6573494999266|1553.2806662225535|4597|4641|0.00268|C IV|b|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1550.781|0.00275|14.013|0.0|85.0|0.0|-23.477|0.0|4|4|4|-157.1686|157.1686|1554.240097632383|1555.8661163808374|4667|4712|0.00268|C IV|b|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1670.7886|-0.00023|13.827|0.368|51.0|23.056|26.517|20.162|2|2|2|-66.667|66.667|1670.0317207757141|1670.7748112746501|7823|7843|-0.00014|AlII|b|--|./component_groups/input_group_5.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1123+1257/J1123+1257_nbin3_BASIC_jwnorm.fits|1670.7886|0.00027|13.226|0.311|40.8|27.233|-9.929|27.7|3|3|3|-71.2648|71.2648|1670.8388677045136|1671.6332066696468|7845|7867|0.00023|AlII|b|--|./component_groups/input_group_5.VP
