specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1025.7616|0.38828|15.684|0.025|34.3|1.787|-19.922|1.364|7|7|7|-84.9217|84.9217|1423.750906943493|1424.332038433243|1111|1127|0.38818|O I|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1039.2304|0.38828|15.684|0.0|34.3|0.0|-19.922|0.0|7|7|7|-84.9217|84.9217|1442.4455200148345|1443.034282072749|1620|1636|0.38818|O I|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1031.9261|0.3688|14.333|0.032|22.005|2.093|-21.798|1.424|2|2|2|-77.3168|77.3168|1412.2341353923973|1412.7664051127283|797|811|0.3687|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1037.6167|0.3688|14.333|0.0|22.005|0.0|-21.798|0.0|2|2|2|-77.3168|77.3168|1420.021960093085|1420.5571650372372|1009|1024|0.3687|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1031.9261|0.36981|14.329|0.241|68.509|21.074|46.429|27.618|3|3|3|-64.6419|64.6419|1413.3195244645171|1413.764536752075|826|838|0.37002|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1037.6167|0.36981|14.329|0.0|68.509|0.0|46.429|0.0|3|3|3|-64.6419|64.6419|1421.1133345890191|1421.5608009156051|1039|1051|0.37002|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1031.9261|0.37056|14.65|0.209|72.2|26.723|5.392|11.099|4|4|4|-89.9917|89.9917|1414.0095137702638|1414.629040923368|845|862|0.37059|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1037.6167|0.37056|14.65|0.0|72.2|0.0|5.392|0.0|4|4|4|-89.9917|89.9917|1421.8071288698927|1422.4300724316113|1058|1075|0.37059|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1031.9261|0.3711|13.94|0.554|83.0|73.394|25.35|99.629|5|5|5|-25.3498|25.3498|1414.788042335245|1414.9625572007908|866|871|0.37122|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1037.6167|0.3711|13.94|0.0|83.0|0.0|25.35|0.0|5|5|5|-25.3498|25.3498|1422.58995066348|1422.7654278986122|1079|1084|0.37122|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1031.9261|0.37148|13.462|0.267|13.095|11.456|2.448|5.444|6|6|6|-46.8971|46.8971|1415.102496989912|1415.4253492846435|875|884|0.37149|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits|1037.6167|0.37148|13.462|0.0|13.095|0.0|2.448|0.0|6|6|6|-46.8971|46.8971|1422.9061393916022|1423.2307720689296|1088|1097|0.37149|O VI|c|-- 
