,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
0,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7222,0.37048,10.156,17961.365,77.711,411295.228,89.782,1039916.137,2,2,2,-89.9917,89.9917,1405.427849425507,1406.0436520052087,611,628,0.37089,H I,b,-- 
1,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1215.67,0.37048,10.156,0.0,77.711,0.0,89.782,0.0,2,2,2,-89.9917,89.9917,1665.691230735872,1666.4210703767285,7705,7725,0.37089,H I,b,-- 
2,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7222,0.37113,15.682,0.208,38.6,6.585,-43.09,4.208,3,3,3,-43.0946,43.0946,1406.2483880924538,1406.5432793529944,634,642,0.37093,H I,c,-- 
3,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1215.67,0.37113,15.682,0.0,38.6,0.0,-43.09,0.0,3,3,3,-43.0946,43.0946,1666.6637204033932,1667.0132209394071,7731,7741,0.37093,H I,c,-- 
4,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7222,0.37164,15.011,0.114,69.2,8.422,-62.11,14.084,4,4,4,-62.1069,62.1069,1406.7125907709476,1407.137580956012,646,658,0.37136,H I,c,-- 
5,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1215.67,0.37164,15.011,0.0,69.2,0.0,-62.11,0.0,4,4,4,-62.1069,62.1069,1667.213886198932,1667.7175779570682,7746,7760,0.37136,H I,c,-- 
6,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7222,0.37219,13.169,0.129,25.7,11.08,6.076,7.159,5,5,5,-53.2345,53.2345,1407.307884179954,1407.6721615791937,663,672,0.37222,H I,b,-- 
7,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1215.67,0.37219,13.169,0.0,25.7,0.0,6.076,0.0,5,5,5,-53.2345,53.2345,1667.9194186896268,1668.3511545981737,7766,7777,0.37222,H I,b,-- 
8,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7222,0.37263,13.552,0.246,4.0,0.932,-7.493,1.709,6,6,6,-32.9547,32.9547,1407.8292137771948,1408.0547188990372,677,683,0.3726,H I,c,-- 
9,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1215.67,0.37263,13.552,0.0,4.0,0.0,-7.493,0.0,6,6,6,-32.9547,32.9547,1668.537290420859,1668.8045555843412,7782,7790,0.3726,H I,c,-- 
