specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1393.7602|-0.00017|13.597|0.027|63.3|4.842|31.196|3.445|2|2|2|-78.7299|78.7299|1393.1634271743396|1393.8954709482362|277|297|-6e-05|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1402.7729|-0.00017|13.597|0.0|63.3|0.0|31.196|0.0|2|2|2|-78.7299|78.7299|1402.172268164414|1402.9090456729377|523|543|-6e-05|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1031.9261|0.36879|14.366|0.02|24.256|1.366|-19.474|0.949|2|2|2|-74.356|74.356|1412.2354935781666|1412.747380352127|797|811|0.3687|O VI|a|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1037.6167|0.36879|14.366|0.0|24.256|0.0|-19.474|0.0|2|2|2|-74.356|74.356|1420.023325768627|1420.538035363791|1009|1023|0.3687|O VI|a|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1215.67|0.25139|13.852|0.041|90.0|10.046|-27.456|7.273|2|2|2|-207.7595|207.7595|1520.4321340264844|1522.117079625516|3746|3792|0.25127|H I|c|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1526.707|-0.00014|15.289|0.442|29.19|5.719|6.747|1.669|2|2|2|-97.3189|97.3189|1525.997614205831|1526.9888162317493|3897|3924|-0.00012|SiII|a|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1215.67|0.26587|13.814|0.041|39.519|4.719|5.604|3.315|2|2|2|-89.6646|89.6646|1538.51931258351|1539.24649941809|4239|4259|0.2659|H I|c|--|./component_groups/input_group_4.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1215.67|0.26779|14.551|0.156|35.887|4.252|-4.34|1.875|2|2|2|-90.7581|90.7581|1540.8519796603614|1541.5880348644387|4302|4322|0.26778|H I|c|--|./component_groups/input_group_5.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|-8e-05|14.189|0.032|41.057|3.673|-4.499|2.573|2|2|2|-63.7031|63.7031|1547.7521556266531|1548.410113434467|4490|4508|-9e-05|C IV|a|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|-8e-05|14.189|0.0|41.057|0.0|-4.499|0.0|2|2|2|-63.7031|63.7031|1550.3284035274787|1550.987456512201|4561|4579|-9e-05|C IV|a|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|0.00052|13.863|0.052|36.278|6.521|11.632|4.127|3|3|3|-52.7826|52.7826|1548.7296867817552|1549.274852147125|4517|4532|0.00055|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|0.00052|13.863|0.0|36.278|0.0|11.632|0.0|3|3|3|-52.7826|52.7826|1551.307561792307|1551.8536345905131|4587|4602|0.00055|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|0.00074|13.635|0.134|9.357|4.982|17.237|2.532|4|4|4|-23.6612|23.6612|1549.2278655958567|1549.4722504261433|4531|4537|0.0008|C IV|c|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|0.00074|13.635|0.0|9.357|0.0|17.237|0.0|4|4|4|-23.6612|23.6612|1551.8065698296919|1552.051361440808|4601|4608|0.0008|C IV|c|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|0.00114|13.963|0.044|37.16|5.363|-26.581|3.516|5|5|5|-86.4542|86.4542|1549.5286430792194|1550.4215857446204|4539|4563|0.00106|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|0.00114|13.963|0.0|37.16|0.0|-26.581|0.0|5|5|5|-86.4542|86.4542|1552.1078479599812|1553.0022769367786|4609|4633|0.00106|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1670.7886|-0.00018|15.043|1.701|20.016|7.929|8.813|1.052|2|2|2|-131.2165|131.2165|1669.7563180817547|1671.218896785665|7816|7856|-0.00015|AlII|a|--|./component_groups/input_group_8.VP
