specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1025.7616|0.38828|15.732|0.017|34.3|1.109|-10.933|0.841|7|7|7|-84.9217|84.9217|1423.750906943493|1424.332038433243|1111|1127|0.38823|O I|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1039.2304|0.38828|15.732|0.0|34.3|0.0|-10.933|0.0|7|7|7|-84.9217|84.9217|1442.4455200148345|1443.034282072749|1620|1636|0.38823|O I|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1031.9261|0.3688|14.265|0.021|22.228|1.463|-20.606|0.988|2|2|2|-77.3168|77.3168|1412.2341353923973|1412.7664051127283|797|811|0.36871|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1037.6167|0.3688|14.265|0.0|22.228|0.0|-20.606|0.0|2|2|2|-77.3168|77.3168|1420.021960093085|1420.5571650372372|1009|1024|0.36871|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1031.9261|0.36981|14.266|0.163|62.529|12.289|49.619|16.251|3|3|3|-64.6419|64.6419|1413.3195244645171|1413.764536752075|826|838|0.37004|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1037.6167|0.36981|14.266|0.0|62.529|0.0|49.619|0.0|3|3|3|-64.6419|64.6419|1421.1133345890191|1421.5608009156051|1039|1051|0.37004|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1031.9261|0.37056|14.647|0.143|73.121|18.901|7.268|7.803|4|4|4|-89.9917|89.9917|1414.0095137702638|1414.629040923368|845|862|0.3706|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1037.6167|0.37056|14.647|0.0|73.121|0.0|7.268|0.0|4|4|4|-89.9917|89.9917|1421.8071288698927|1422.4300724316113|1058|1075|0.3706|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1031.9261|0.3711|14.094|0.339|83.0|47.617|25.35|53.969|5|5|5|-25.3498|25.3498|1414.788042335245|1414.9625572007908|866|871|0.37122|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1037.6167|0.3711|14.094|0.0|83.0|0.0|25.35|0.0|5|5|5|-25.3498|25.3498|1422.58995066348|1422.7654278986122|1079|1084|0.37122|O VI|b|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1031.9261|0.37148|13.435|0.568|30.3|23.711|20.035|11.122|6|6|6|-46.8971|46.8971|1415.102496989912|1415.4253492846435|875|884|0.37157|O VI|c|-- 
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits|1037.6167|0.37148|13.435|0.0|30.3|0.0|20.035|0.0|6|6|6|-46.8971|46.8971|1422.9061393916022|1423.2307720689296|1088|1097|0.37157|O VI|c|-- 
