,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
0,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37048,10.13,109377.974,77.7,367780.882,89.99,4965574.029,2,2,2,-89.9917,89.9917,1405.427849425507,1406.0436520052087,611,628,0.3709,H I,b,-- 
1,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37048,10.13,0.0,77.7,0.0,89.99,0.0,2,2,2,-89.9917,89.9917,1665.691230735872,1666.4210703767285,7705,7725,0.3709,H I,b,-- 
2,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37113,15.319,0.594,56.227,16.556,-43.09,8.042,3,3,3,-43.0946,43.0946,1406.2483880924538,1406.5432793529944,634,642,0.37093,H I,c,-- 
3,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37113,15.319,0.0,56.227,0.0,-43.09,0.0,3,3,3,-43.0946,43.0946,1666.6637204033932,1667.0132209394071,7731,7741,0.37093,H I,c,-- 
4,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37164,15.027,0.235,69.2,7.928,-62.11,19.343,4,4,4,-62.1069,62.1069,1406.7125907709476,1407.137580956012,646,658,0.37136,H I,c,-- 
5,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37164,15.027,0.0,69.2,0.0,-62.11,0.0,4,4,4,-62.1069,62.1069,1667.213886198932,1667.7175779570682,7746,7760,0.37136,H I,c,-- 
6,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37219,12.685,0.226,25.7,19.079,32.311,11.841,5,5,5,-53.2345,53.2345,1407.307884179954,1407.6721615791937,663,672,0.37234,H I,b,-- 
7,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37219,12.685,0.0,25.7,0.0,32.311,0.0,5,5,5,-53.2345,53.2345,1667.9194186896268,1668.3511545981737,7766,7777,0.37234,H I,b,-- 
8,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37263,8.82,13175.388,13.942,22151.809,32.95,67511.39,6,6,6,-32.9547,32.9547,1407.8292137771948,1408.0547188990372,677,683,0.37279,H I,c,-- 
9,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37263,8.82,0.0,13.942,0.0,32.95,0.0,6,6,6,-32.9547,32.9547,1668.537290420859,1668.8045555843412,7782,7790,0.37279,H I,c,-- 
10,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37308,13.197,0.532,41.2,33.233,-26.709,38.858,7,7,7,-50.6995,50.6995,1408.2204444499116,1408.567375143404,687,697,0.37295,H I,b,-- 
11,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37308,13.197,0.0,41.2,0.0,-26.709,0.0,7,7,7,-50.6995,50.6995,1669.0009709299693,1669.4121477926303,7795,7806,0.37295,H I,b,-- 
12,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1548.204,-0.00011,14.065,0.032,39.361,3.796,1.752,2.582,2,2,2,-70.0734,70.0734,1547.667563256345,1548.3913167416551,4488,4508,-0.00011,C IV,a,-- 
13,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1550.781,-0.00011,14.065,0.0,39.361,0.0,1.752,0.0,2,2,2,-70.0734,70.0734,1550.243670352381,1550.9686285321188,4558,4578,-0.00011,C IV,a,-- 
14,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1548.204,0.00054,13.752,0.054,32.391,6.299,2.552,3.889,3,3,3,-57.3328,57.3328,1548.749228470481,1549.3413906007986,4518,4534,0.00055,C IV,c,-- 
