specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.37048389|15.1300|87.7000|0.0000|2|2|2|-89.9917|89.9917|1405.31384|1406.15779|0.37048389|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.37048389|15.1300|87.7000|0.0000|2|2|2|-89.9917|89.9917|1665.55611|1666.55634|0.37048389|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.37112742|14.9900|48.6000|0.0000|3|3|3|-43.0946|43.0946|1406.19368|1406.59801|0.37112742|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.37112742|14.9900|48.6000|0.0000|3|3|3|-43.0946|43.0946|1666.59888|1667.07809|0.37112742|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.37164340|15.0700|79.2000|0.0000|4|4|4|-62.1069|62.1069|1406.63365|1407.21658|0.37164340|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.37164340|15.0700|79.2000|0.0000|4|4|4|-62.1069|62.1069|1667.12032|1667.81121|0.37164340|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.37219417|14.3500|35.7000|0.0000|5|5|5|-53.2345|53.2345|1407.24011|1407.73997|0.37219417|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.37219417|14.3500|35.7000|0.0000|5|5|5|-53.2345|53.2345|1667.83910|1668.43152|0.37219417|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.37263478|13.8200|10.0000|0.0000|6|6|6|-32.9547|32.9547|1407.78721|1408.09674|0.37263478|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.37263478|13.8200|10.0000|0.0000|6|6|6|-32.9547|32.9547|1668.48750|1668.85436|0.37263478|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.37307539|14.1900|31.2000|0.0000|7|7|7|-50.6995|50.6995|1408.15575|1408.63211|0.37307539|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.37307539|14.1900|31.2000|0.0000|7|7|7|-50.6995|50.6995|1668.92430|1669.48887|0.37307539|HI|b|
