,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
0,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1526.707,-0.00078,13.722,0.127,20.0,10.768,16.996,6.463,3,3,3,-33.8251,33.8251,1525.347653081224,1525.6921648630762,3880,3889,-0.00072,SiII,c,-- 
1,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1526.707,-0.00048,13.758,0.184,10.923,8.676,-15.798,4.263,2,2,2,-43.9727,43.9727,1525.7495911413082,1526.197457170672,3891,3903,-0.00053,SiII,c,-- 
2,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1526.707,5e-05,14.614,0.101,31.729,4.444,0.171,2.794,4,4,4,-81.1803,81.1803,1526.3697071672448,1527.1965360547954,3908,3930,5e-05,SiII,a,-- 
3,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1670.7886,5e-05,13.248,0.131,37.957,10.677,-4.397,7.561,2,2,2,-63.1403,63.1403,1670.5200151013237,1671.2237959378683,7836,7856,4e-05,AlII,a,-- 
4,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1548.204,9e-05,14.078,0.049,33.147,4.818,-12.12,3.293,2,2,2,-56.3752,56.3752,1548.0459942851528,1548.6282658387674,4498,4514,5e-05,C IV,a,-- 
5,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1550.781,9e-05,14.078,0.0,33.147,0.0,-12.12,0.0,2,2,2,-56.3752,56.3752,1550.6227312831666,1551.2059720332138,4569,4585,5e-05,C IV,a,-- 
6,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1548.204,0.00422,14.211,0.053,54.1,7.973,18.21,5.687,2,2,2,-71.0328,71.0328,1554.3656662646183,1555.0993289179412,4671,4691,0.00428,C IV,a,-- 
7,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1550.781,0.00422,14.211,0.0,54.1,0.0,18.21,0.0,2,2,2,-71.0328,71.0328,1556.952922415593,1557.6878062572464,4741,4761,0.00428,C IV,a,-- 
8,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1560.3092,0.00237,15.152,1.431,22.604,13.482,10.017,4.322,6,6,6,-58.6302,58.6302,1563.7016409639666,1564.311938107985,4925,4942,0.0024,C I,c,-- 
9,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1656.9284,0.00237,15.152,0.0,22.604,0.0,10.017,0.0,6,6,6,-58.6302,58.6302,1660.5309114628049,1661.179000104699,7564,7582,0.0024,C I,c,-- 
