specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J0246-3007_nbin3_allvisits_jwnorm.fits|1393.76020|-0.00041650|13.7900|26.4000|0.0000|2|2|2|-38.3352|38.3352|1393.00156|1393.35786|-0.00041650|SiIV|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1402.77290|-0.00041650|13.7900|26.4000|0.0000|2|2|2|-38.3352|38.3352|1402.00936|1402.36796|-0.00041650|SiIV|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1393.76020|-0.00087910|13.9900|78.4000|0.0000|3|3|3|-86.8179|86.8179|1392.13174|1392.93828|-0.00087910|SiIV|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1402.77290|-0.00087910|13.9900|78.4000|0.0000|3|3|3|-86.8179|86.8179|1401.13391|1401.94566|-0.00087910|SiIV|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1393.76020|0.00001601|14.6400|59.5000|0.0000|4|4|4|-80.0528|80.0528|1393.41039|1394.15474|0.00001601|SiIV|b|
J0246-3007_nbin3_allvisits_jwnorm.fits|1402.77290|0.00001601|14.6400|59.5000|0.0000|4|4|4|-80.0528|80.0528|1402.42082|1403.16999|0.00001601|SiIV|b|
J0246-3007_nbin3_allvisits_jwnorm.fits|1393.76020|0.00045228|13.2200|10.0000|0.0000|5|5|5|-43.9727|43.9727|1394.18606|1394.59511|0.00045228|SiIV|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1402.77290|0.00045228|13.2200|10.0000|0.0000|5|5|5|-43.9727|43.9727|1403.20152|1403.61321|0.00045228|SiIV|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1560.30920|0.00236978|14.2000|32.6000|0.0000|6|6|6|-58.6302|58.6302|1563.70095|1564.31269|0.00236978|CI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1656.92840|0.00236978|14.2000|32.6000|0.0000|6|6|6|-58.6302|58.6302|1660.53018|1661.17980|0.00236978|CI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|919.35130|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1400.67443|1401.44375|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|920.96300|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1403.12993|1403.90060|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|923.15030|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1406.46239|1407.23489|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|926.22560|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1411.14775|1411.92282|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|930.74820|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1418.03814|1418.81700|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|937.80340|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1428.78707|1429.57183|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|949.74300|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1446.97760|1447.77235|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|972.53670|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1481.70486|1482.51869|0.52396482|HI|c|
J0246-3007_nbin3_allvisits_jwnorm.fits|1025.72220|0.52396482|14.8600|47.9000|0.0000|7|7|7|-82.3078|82.3078|1562.73544|1563.59378|0.52396482|HI|c|
