specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1393.7602|-0.00017|13.597|0.027|63.3|4.842|31.196|3.445|2|2|2|-78.7299|78.7299|1393.1634271743396|1393.8954709482362|277|297|-6e-05|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1402.7729|-0.00017|13.597|0.0|63.3|0.0|31.196|0.0|2|2|2|-78.7299|78.7299|1402.172268164414|1402.9090456729377|523|543|-6e-05|SiIV|b|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1031.9261|0.36879|14.366|0.02|24.256|1.366|-19.474|0.949|2|2|2|-74.356|74.356|1412.2354935781666|1412.747380352127|797|811|0.3687|O VI|a|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1037.6167|0.36879|14.366|0.0|24.256|0.0|-19.474|0.0|2|2|2|-74.356|74.356|1420.023325768627|1420.538035363791|1009|1023|0.3687|O VI|a|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1215.67|0.25139|13.852|0.041|90.0|10.046|-27.456|7.273|2|2|2|-207.7595|207.7595|1520.4321340264844|1522.117079625516|3746|3792|0.25127|H I|c|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1526.707|-0.00014|15.289|0.442|29.19|5.719|6.747|1.669|2|2|2|-97.3189|97.3189|1525.997614205831|1526.9888162317493|3897|3924|-0.00012|SiII|a|--|./component_groups/input_group_3.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1215.67|0.26587|13.814|0.041|39.519|4.719|5.604|3.315|2|2|2|-89.6646|89.6646|1538.51931258351|1539.24649941809|4239|4259|0.2659|H I|c|--|./component_groups/input_group_4.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1215.67|0.26779|14.551|0.156|35.887|4.252|-4.34|1.875|2|2|2|-90.7581|90.7581|1540.8519796603614|1541.5880348644387|4302|4322|0.26778|H I|c|--|./component_groups/input_group_5.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|-0.00013|14.19|0.032|41.39|3.687|9.199|2.588|2|2|2|-101.6928|101.6928|1547.4844711564876|1548.5348057831925|4483|4512|-9e-05|C IV|a|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|-0.00013|14.19|0.0|41.39|0.0|9.199|0.0|2|2|2|-101.6928|101.6928|1550.0602734940155|1551.1123564125044|4553|4582|-9e-05|C IV|a|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|0.00051|13.855|0.052|34.3|6.22|11.655|3.925|3|3|3|-44.8323|44.8323|1548.768715992473|1549.2317666419272|4518|4531|0.00055|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|0.00051|13.855|0.0|34.3|0.0|11.655|0.0|3|3|3|-44.8323|44.8323|1551.3466559675103|1551.8104773690898|4588|4601|0.00055|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|0.00081|13.652|0.103|10.925|4.852|-2.26|2.533|4|4|4|-36.0845|36.0845|1549.2661222303307|1549.6388211808694|4532|4542|0.0008|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|0.00081|13.652|0.0|10.925|0.0|-2.26|0.0|4|4|4|-36.0845|36.0845|1551.844890142691|1552.2182094541095|4602|4612|0.0008|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1548.204|0.00109|13.946|0.044|30.0|4.293|-11.07|2.849|5|5|5|-38.2715|38.2715|1549.6957410269133|1550.0910284186064|4543|4554|0.00105|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1550.781|0.00109|13.946|0.0|30.0|0.0|-11.07|0.0|5|5|5|-38.2715|38.2715|1552.2752240437678|1552.6711693950117|4614|4624|0.00105|C IV|b|--|./component_groups/input_group_6.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_jwnorm.fits|1670.7886|-0.00018|15.043|1.701|20.016|7.929|8.813|1.052|2|2|2|-131.2165|131.2165|1669.7563180817547|1671.218896785665|7816|7856|-0.00015|AlII|a|--|./component_groups/input_group_8.VP
